--- Data: modules ---
id: 1 | module_name: User Management | module_slug: users | status: active | created_at:  | updated_at:  | 
id: 2 | module_name: Employee Management | module_slug: employees | status: active | created_at:  | updated_at:  | 
id: 3 | module_name: Attendance Management | module_slug: attendance | status: active | created_at:  | updated_at:  | 
id: 4 | module_name: Payroll Management | module_slug: payroll | status: active | created_at:  | updated_at:  | 
id: 5 | module_name: Settings | module_slug:  | status: active | created_at: 2026-01-21 07:02:52 | updated_at: 2026-01-21 07:02:52 | 
id: 12 | module_name: Settings | module_slug: settings | status: active | created_at: 2026-01-21 07:48:25 | updated_at: 2026-01-21 07:48:25 | 
id: 14 | module_name: Countries | module_slug: country | status: active | created_at: 2026-01-21 11:06:19 | updated_at: 2026-01-21 11:06:19 | 
id: 15 | module_name: States | module_slug: state | status: active | created_at: 2026-01-21 11:06:19 | updated_at: 2026-01-21 11:06:19 | 
id: 16 | module_name: Agents | module_slug: agent | status: active | created_at: 2026-01-21 11:06:19 | updated_at: 2026-01-21 11:06:19 | 
id: 17 | module_name: Transports | module_slug: transport | status: active | created_at: 2026-01-21 11:06:19 | updated_at: 2026-01-21 11:06:19 | 
id: 18 | module_name: Expenses | module_slug: expense | status: active | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 19 | module_name: Bank Accounts | module_slug: bank_account | status: active | created_at: 2026-01-21 11:06:20 | updated_at: 2026-01-21 11:06:20 | 
id: 20 | module_name: Roles | module_slug: roles | status: active | created_at:  | updated_at:  | 
id: 21 | module_name: Employee | module_slug: employee | status: active | created_at:  | updated_at:  | 
id: 22 | module_name: Loan | module_slug: loan | status: active | created_at:  | updated_at:  | 
id: 23 | module_name: Salary | module_slug: salary | status: active | created_at:  | updated_at:  | 
id: 24 | module_name: Expense Categories | module_slug: expense_category | status: active | created_at: 2026-01-21 11:23:34 | updated_at: 2026-01-21 11:23:34 | 
id: 25 | module_name: Customers | module_slug: customer | status: active | created_at: 2026-01-21 11:33:53 | updated_at: 2026-01-21 11:33:53 | 
id: 26 | module_name: Vendors | module_slug: vendor | status: active | created_at: 2026-01-21 11:33:53 | updated_at: 2026-01-21 11:33:53 | 
--- Data: permissions ---
id: 1 | permission_key: user.view | permission_name: View Users | module_id: 1 | created_at:  | updated_at:  | 
id: 2 | permission_key: user.create | permission_name: Create User | module_id: 1 | created_at:  | updated_at:  | 
id: 3 | permission_key: user.edit | permission_name: Edit User | module_id: 1 | created_at:  | updated_at:  | 
id: 4 | permission_key: user.delete | permission_name: Delete User | module_id: 1 | created_at:  | updated_at:  | 
id: 5 | permission_key: employee.view | permission_name: View Employees | module_id: 2 | created_at:  | updated_at:  | 
id: 6 | permission_key: employee.create | permission_name: Create Employee | module_id: 2 | created_at:  | updated_at:  | 
id: 7 | permission_key: employee.edit | permission_name: Edit Employee | module_id: 2 | created_at:  | updated_at:  | 
id: 8 | permission_key: employee.delete | permission_name: Delete Employee | module_id: 2 | created_at:  | updated_at:  | 
id: 9 | permission_key: attendance.view | permission_name: View Attendance | module_id: 3 | created_at:  | updated_at:  | 
id: 10 | permission_key: attendance.manage | permission_name: Manage Attendance | module_id: 3 | created_at:  | updated_at:  | 
id: 11 | permission_key: salary.view | permission_name: View Salary | module_id: 4 | created_at:  | updated_at:  | 
id: 12 | permission_key: salary.calculate | permission_name: Calculate Salary | module_id: 4 | created_at:  | updated_at:  | 
id: 13 | permission_key: setting.view | permission_name: View Settings | module_id: 5 | created_at: 2026-01-21 07:02:52 | updated_at: 2026-01-21 07:02:52 | 
id: 14 | permission_key: role.view | permission_name: View Roles | module_id: 1 | created_at: 2026-01-21 12:41:54 | updated_at: 2026-01-21 12:41:54 | 
id: 15 | permission_key: role.create | permission_name: Create Role | module_id: 1 | created_at: 2026-01-21 12:41:54 | updated_at: 2026-01-21 12:41:54 | 
id: 16 | permission_key: role.edit | permission_name: Edit Role | module_id: 1 | created_at: 2026-01-21 12:41:54 | updated_at: 2026-01-21 12:41:54 | 
id: 17 | permission_key: role.delete | permission_name: Delete Role | module_id: 1 | created_at: 2026-01-21 12:41:55 | updated_at: 2026-01-21 12:41:55 | 
id: 18 | permission_key: attendance.create | permission_name: Create Attendance | module_id: 3 | created_at: 2026-01-21 12:41:55 | updated_at: 2026-01-21 12:41:55 | 
id: 19 | permission_key: loan.view | permission_name: View Loans | module_id: 4 | created_at: 2026-01-21 12:41:55 | updated_at: 2026-01-21 12:41:55 | 
id: 20 | permission_key: loan.create | permission_name: Create Loan | module_id: 4 | created_at: 2026-01-21 12:41:55 | updated_at: 2026-01-21 12:41:55 | 
id: 21 | permission_key: loan.edit | permission_name: Edit Loan | module_id: 4 | created_at: 2026-01-21 12:41:55 | updated_at: 2026-01-21 12:41:55 | 
id: 22 | permission_key: loan.delete | permission_name: Delete Loan | module_id: 4 | created_at: 2026-01-21 12:41:55 | updated_at: 2026-01-21 12:41:55 | 
id: 23 | permission_key: salary.create | permission_name: Calculate Salary | module_id: 4 | created_at: 2026-01-21 12:41:55 | updated_at: 2026-01-21 12:41:55 | 
id: 24 | permission_key: salary.edit | permission_name: Edit Salary Status | module_id: 4 | created_at: 2026-01-21 12:41:55 | updated_at: 2026-01-21 12:41:55 | 
id: 25 | permission_key: salary.delete | permission_name: Delete Salary | module_id: 4 | created_at: 2026-01-21 12:41:55 | updated_at: 2026-01-21 12:41:55 | 
id: 26 | permission_key: setting.edit | permission_name: Edit Settings | module_id: 5 | created_at: 2026-01-21 12:41:55 | updated_at: 2026-01-21 12:41:55 | 
id: 27 | permission_key: setting.view | permission_name: View Settings | module_id: 12 | created_at: 2026-01-21 07:48:25 | updated_at: 2026-01-21 07:48:25 | 
id: 28 | permission_key: setting.view | permission_name: View Settings | module_id: 12 | created_at: 2026-01-21 07:49:03 | updated_at: 2026-01-21 07:49:03 | 
id: 29 | permission_key: setting.edit | permission_name: Edit Settings | module_id: 12 | created_at: 2026-01-21 07:49:03 | updated_at: 2026-01-21 07:49:03 | 
